prolificId,task,literacy,hard,complexity,condition,vis,measure,value
5e21075ee1f46740a7ef73d9,Knowledge,Somewhat familiar,somewhat easy,5,animated,scatter arrows,answer,11
5e21075ee1f46740a7ef73d9,Knowledge,Somewhat familiar,somewhat easy,5,animated,scatter arrows,accuracy,1
5e21075ee1f46740a7ef73d9,Knowledge,Somewhat familiar,somewhat easy,5,animated,scatter arrows,time,25.184
5e21075ee1f46740a7ef73d9,Application,Somewhat familiar,somewhat easy,5,animated,scatter arrows,answer,2
5e21075ee1f46740a7ef73d9,Application,Somewhat familiar,somewhat easy,5,animated,scatter arrows,accuracy,1
5e21075ee1f46740a7ef73d9,Application,Somewhat familiar,somewhat easy,5,animated,scatter arrows,time,47.616
5e21075ee1f46740a7ef73d9,Knowledge 2,Somewhat familiar,somewhat easy,5,animated,scatter arrows,answer,7
5e21075ee1f46740a7ef73d9,Knowledge 2,Somewhat familiar,somewhat easy,5,animated,scatter arrows,accuracy,1
5e21075ee1f46740a7ef73d9,Knowledge 2,Somewhat familiar,somewhat easy,5,animated,scatter arrows,time,8.036
5e21075ee1f46740a7ef73d9,Complexity,Somewhat familiar,somewhat easy,5,animated,scatter arrows,value,5
5e21075ee1f46740a7ef73d9,Trust,Somewhat familiar,somewhat easy,5,animated,scatter arrows,value,7
5e21075ee1f46740a7ef73d9,Visual Literacy,Somewhat familiar,somewhat easy,5,animated,scatter arrows,value,2
5e21075ee1f46740a7ef73d9,Understanding,Somewhat familiar,somewhat easy,5,animated,scatter arrows,value,3
5e21075ee1f46740a7ef73d9,Animation 1,Somewhat familiar,somewhat easy,5,animated,scatter arrows,value,5
5e21075ee1f46740a7ef73d9,Animation 2,Somewhat familiar,somewhat easy,5,animated,scatter arrows,value,3
5e21075ee1f46740a7ef73d9,S2,Somewhat familiar,somewhat easy,5,animated,scatter arrows,value,1
5e21075ee1f46740a7ef73d9,S3,Somewhat familiar,somewhat easy,5,animated,scatter arrows,value,1
5e21075ee1f46740a7ef73d9,S4,Somewhat familiar,somewhat easy,5,animated,scatter arrows,value,5
5e21075ee1f46740a7ef73d9,S5,Somewhat familiar,somewhat easy,5,animated,scatter arrows,value,4
5e21075ee1f46740a7ef73d9,S6,Somewhat familiar,somewhat easy,5,animated,scatter arrows,value,3
5e21075ee1f46740a7ef73d9,S7,Somewhat familiar,somewhat easy,5,animated,scatter arrows,value,4
5e21075ee1f46740a7ef73d9,S8,Somewhat familiar,somewhat easy,5,animated,scatter arrows,value,5
5e21075ee1f46740a7ef73d9,S9,Somewhat familiar,somewhat easy,5,animated,scatter arrows,value,4
611666a95ae1db3cff681f5f,Knowledge,Familiar,somewhat easy,2,animated,scatter arrows,answer,11
611666a95ae1db3cff681f5f,Knowledge,Familiar,somewhat easy,2,animated,scatter arrows,accuracy,1
611666a95ae1db3cff681f5f,Knowledge,Familiar,somewhat easy,2,animated,scatter arrows,time,23.795
611666a95ae1db3cff681f5f,Application,Familiar,somewhat easy,2,animated,scatter arrows,answer,4
611666a95ae1db3cff681f5f,Application,Familiar,somewhat easy,2,animated,scatter arrows,accuracy,1
611666a95ae1db3cff681f5f,Application,Familiar,somewhat easy,2,animated,scatter arrows,time,22.089
611666a95ae1db3cff681f5f,Knowledge 2,Familiar,somewhat easy,2,animated,scatter arrows,answer,6
611666a95ae1db3cff681f5f,Knowledge 2,Familiar,somewhat easy,2,animated,scatter arrows,accuracy,1
611666a95ae1db3cff681f5f,Knowledge 2,Familiar,somewhat easy,2,animated,scatter arrows,time,10.846
611666a95ae1db3cff681f5f,Complexity,Familiar,somewhat easy,2,animated,scatter arrows,value,2
611666a95ae1db3cff681f5f,Trust,Familiar,somewhat easy,2,animated,scatter arrows,value,6
611666a95ae1db3cff681f5f,Visual Literacy,Familiar,somewhat easy,2,animated,scatter arrows,value,5
611666a95ae1db3cff681f5f,Understanding,Familiar,somewhat easy,2,animated,scatter arrows,value,3
611666a95ae1db3cff681f5f,Animation 1,Familiar,somewhat easy,2,animated,scatter arrows,value,1
611666a95ae1db3cff681f5f,Animation 2,Familiar,somewhat easy,2,animated,scatter arrows,value,1
611666a95ae1db3cff681f5f,S2,Familiar,somewhat easy,2,animated,scatter arrows,value,1
611666a95ae1db3cff681f5f,S3,Familiar,somewhat easy,2,animated,scatter arrows,value,1
611666a95ae1db3cff681f5f,S4,Familiar,somewhat easy,2,animated,scatter arrows,value,5
611666a95ae1db3cff681f5f,S5,Familiar,somewhat easy,2,animated,scatter arrows,value,4
611666a95ae1db3cff681f5f,S6,Familiar,somewhat easy,2,animated,scatter arrows,value,1
611666a95ae1db3cff681f5f,S7,Familiar,somewhat easy,2,animated,scatter arrows,value,3
611666a95ae1db3cff681f5f,S8,Familiar,somewhat easy,2,animated,scatter arrows,value,4
611666a95ae1db3cff681f5f,S9,Familiar,somewhat easy,2,animated,scatter arrows,value,4
61087ef60a648b457ac43bd9,Knowledge,Somewhat familiar,easy,2,animated,scatter arrows,answer,1000
61087ef60a648b457ac43bd9,Knowledge,Somewhat familiar,easy,2,animated,scatter arrows,accuracy,1
61087ef60a648b457ac43bd9,Knowledge,Somewhat familiar,easy,2,animated,scatter arrows,time,62.769
61087ef60a648b457ac43bd9,Application,Somewhat familiar,easy,2,animated,scatter arrows,answer,55
61087ef60a648b457ac43bd9,Application,Somewhat familiar,easy,2,animated,scatter arrows,accuracy,1
61087ef60a648b457ac43bd9,Application,Somewhat familiar,easy,2,animated,scatter arrows,time,85.812
61087ef60a648b457ac43bd9,Knowledge 2,Somewhat familiar,easy,2,animated,scatter arrows,answer,24
61087ef60a648b457ac43bd9,Knowledge 2,Somewhat familiar,easy,2,animated,scatter arrows,accuracy,0
61087ef60a648b457ac43bd9,Knowledge 2,Somewhat familiar,easy,2,animated,scatter arrows,time,84.438
61087ef60a648b457ac43bd9,Complexity,Somewhat familiar,easy,2,animated,scatter arrows,value,2
61087ef60a648b457ac43bd9,Trust,Somewhat familiar,easy,2,animated,scatter arrows,value,5
61087ef60a648b457ac43bd9,Visual Literacy,Somewhat familiar,easy,2,animated,scatter arrows,value,2
61087ef60a648b457ac43bd9,Understanding,Somewhat familiar,easy,2,animated,scatter arrows,value,2
61087ef60a648b457ac43bd9,Animation 1,Somewhat familiar,easy,2,animated,scatter arrows,value,3
61087ef60a648b457ac43bd9,Animation 2,Somewhat familiar,easy,2,animated,scatter arrows,value,1
61087ef60a648b457ac43bd9,S2,Somewhat familiar,easy,2,animated,scatter arrows,value,2
61087ef60a648b457ac43bd9,S3,Somewhat familiar,easy,2,animated,scatter arrows,value,1
61087ef60a648b457ac43bd9,S4,Somewhat familiar,easy,2,animated,scatter arrows,value,5
61087ef60a648b457ac43bd9,S5,Somewhat familiar,easy,2,animated,scatter arrows,value,3
61087ef60a648b457ac43bd9,S6,Somewhat familiar,easy,2,animated,scatter arrows,value,2
61087ef60a648b457ac43bd9,S7,Somewhat familiar,easy,2,animated,scatter arrows,value,5
61087ef60a648b457ac43bd9,S8,Somewhat familiar,easy,2,animated,scatter arrows,value,3
61087ef60a648b457ac43bd9,S9,Somewhat familiar,easy,2,animated,scatter arrows,value,4
611189554654cc7dd530f161,Knowledge,Somewhat familiar,somewhat hard,3,animated,scatter arrows,answer,10
611189554654cc7dd530f161,Knowledge,Somewhat familiar,somewhat hard,3,animated,scatter arrows,accuracy,1
611189554654cc7dd530f161,Knowledge,Somewhat familiar,somewhat hard,3,animated,scatter arrows,time,19.838
611189554654cc7dd530f161,Application,Somewhat familiar,somewhat hard,3,animated,scatter arrows,answer,5
611189554654cc7dd530f161,Application,Somewhat familiar,somewhat hard,3,animated,scatter arrows,accuracy,1
