Duration (in seconds),Consent Form_Page Submit,Prolific ID_Page Submit,Prolific ID_Click Count,Visualization_Page Submit,Self Assessment_Page Submit,Visual Literacy,Visual Literacy_text,Understanding,Understanding_text,Complexity,Complexity - Unclear,Animation_Page Submit,Animation 1,Animation 1_text,Animation 2,Animation 2_text,Knowledge_Page Submit,Knowledge,Knowledge_Score,Comprehension_Page Submit,Comprehension_Click Count,Comp - Summary,Comp - Takeaway,Application_Page Submit,Application,Application_Score,Analysis_Page Submit,Analysis,Synthesis_Page Submit,Synthesis AR,Evaluation_Page Submit,Evaluation,Knowledge 2_Page Submit,Knowledge 2,Knowledge 2_Score,Trust_Page Submit,Trust,Trust - Explanation,Survey-Timer_Page Submit,S2,S3,S3_3_TEXT,S4,S4_6_TEXT,S5,S6,S7,S7_6_TEXT,S8,S9,PROLIFIC_PID,Visualization,CONDITION
318,24.695,1.183,0,56.073,11.952,2,Somewhat familiar,6,hard,5,too many arrows and the labels would be better bolded,6.871,2,somewhat helpful,3,"no, the animation made the data easier to understand.",10.689,11,1,43.262,4,if the number of hospitalizations increased or decreased in the last two weeks across 50 states,increase or decrease,17.168,4,1,30.964,about half increased half decreased,15.491,continue going up,29.985,getting vaccinated because a lot of southern states are refusing vaccination,7.405,6,1,12.287,6,whos the source,11.399,1,1,,2,,4,3,3,,4,5,5f2b314888f11d54bc1590d5,scatter arrows,animated
1265,55.279,4.449,0,61.706,38.508,2,Somewhat familiar,2,easy,2,,10.358,3,helpful,3,"no, the animation made the data easier to understand.",21.624,11,1,373.853,29,"The data in this visualization shows whether there has been in increase or decrease in Covid-19 hospitalizations in the past two weeks in each state, and relates that information to the percentage of state that has been fully vaccinated. Red arrows show an increase in hospitalizations (how big a change determined by length of arrow), while purple arrows show a decrease.


","In general, the states with a higher percentage of their population vaccinated, the number of Covid-19 cases have decreased.  The general trend of states with fewer people vaccinated is an increase in the number of cases.",66.023,3,1,91.87,"The general trend could be described as a decrease in cases in states with a higher number of people fully vaccinated, and an increase in cases among states with fewer fully-vaccinated individuals.  This does not hold true for every state, but the evidence supports this general trend.",113.142,"Given the data, it appears as though Arkansas could increase their number of hospitalizations by a significant amount over the next two weeks.  As for Rhode Island, the number of hospitalizations could either decrease, on increase at a lower rate. There are some extenuating factors such as population density that could skew the numbers, so it is hard to make a definitive guess.",254.875,"Using the data presented in the graph, in order to reduce the number of Covid-19 hospitalizations across the United States, a higher percentage of individuals would need to be vaccinated.  The trend from the graph shows that in states where a higher percentage of the population has been vaccinated, the cases of hospitalization are reduced, or at least increasing at a slower rate.  Arkansas, Missouri, Nevada, and Florida all have rates of under 50% vaccinated, and a large increase in Covid-19 hospitalizations over the last few weeks, whereas states such as Maine and Vermont with an over 60% vaccination rate have seen a decrease in their hospitalizations.",12.585,7,1,110.024,5,"The data seems to reinforce my preconceived notions of vaccine effectiveness.  I rate it less than a 4 or 5 because I do not see a source for these numbers represented on the graph.  Were there a trustworthy source, perhaps with a hyperlink to go to the webpage, I would trust this graph much more.  Perhaps there was a source on the video that I don't remember.",27.763,2,2,,6,Mixed,4,2,4,,4,5,61204f149528999a0b7a085e,scatter arrows,animated
546,9.406,1.816,0,64.583,22.517,2,Somewhat familiar,3,somewhat easy,5,,6.922,5,very helpful,3,"no, the animation made the data easier to understand.",25.184,11,1,123.412,4,the increase or decrease in the number of covid hospitalizations during the last two weeks,states are experiencing very different covid experiences,47.616,2,1,15.026,Mostly increasing,27.205,increase,15.676,Do whatever the states with decrease are doing,8.036,7,1,137.216,7,I understand the point of this chart but its very visually overwhelming,23.534,1,1,,5,,4,3,4,,5,4,5e21075ee1f46740a7ef73d9,scatter arrows,animated
649,12.419,1.833,0,68.091,15.228,5,Familiar,3,somewhat easy,2,,9.821,1,not helpful,1,"yes, the static visualization is just as clear as the animated version.",23.795,11,1,158.62,5,"It tells me the difference in case levels during a two week time span, as well as the relation to vaccination levels",vaccination levels v. covid cases rate,22.089,4,1,13.099,It has generally increased ,109.583,"The number of hospitalized people in Arkansas in the next two weeks will probably reach a similar level as the current number of hospitalized people in Nevada. For Rhode Island, the number of people will reach a similar level as the current number of people in Missouri. ",110.762,"The main measure that could help reduce the number of COVID hospitalizations is increasing the vaccination level. States with the highest rates of vaccination have seen a decrease in hospitalization, and the states that have a moderate to high level of vaccination have seen some decreases and some increases in the level of hospitalization, but the states that have seen an increase have seen a very small increase of two to three people hospitalized, where as the states with low vaccination rates have seen large increases in the number of hospitalized people. ",10.846,6,1,52.124,6,"I trust the visual because it makes sense, however, I do wish there was a source attached. If it came from a reputable source, I would trust it more. ",21.152,1,1,,5,,4,1,3,,4,4,611666a95ae1db3cff681f5f,scatter arrows,animated
943,34.198,3.908,0,66.881,30.516,2,Somewhat familiar,2,easy,2,,11.17,3,helpful,1,"yes, the static visualization is just as clear as the animated version.",62.769,1000,1,226.372,3,The states with more vaccinated people have hospitalizations decreased in the last 2 weeks,The states with more vaccinated people have hospitalizations decreased in the last 2 weeks,85.812,55,1,97.961,They have reduced for states that have a large number of vaccinations,27.452,They could continue to increase if nothing changes,28.891,"from this graph, increase vaccinations",84.438,24,0,75.809,5,"I thought I understood it but I'm not sure that I do. Also, where is the data coming from for this study? Are all Americans accounted for? ",68.573,2,1,,5,,3,2,5,,3,4,61087ef60a648b457ac43bd9,scatter arrows,animated
676,33.075,2.954,0,68.944,11.557,2,Somewhat familiar,5,somewhat hard,3,"When all of the arrows popped up at once, I felt overwhelmed. ",11.3,5,very helpful,3,"no, the animation made the data easier to understand.",19.838,10,1,127.294,10,It tells me how much covid cases have increased or decreased in different states over 2 weeks. It also informs me what percentage of people from each place have been vaccinated. ,The main takeaway is that the places with decreased covid cases are the generally the ones with a higher vaccine percentage. ,56.853,5,1,18.019,They are rising more than falling.,52.452,"Assuming the vaccine percentages stay the same, it can be assumed by the visualization that AK and RI would increase. ",70.83,The graph has informed me that the places with a higher vaccine percentages have covid cases that are slowly declining. ,13.363,8,1,67.578,7,"It's a good visualization in that it is clear, appealing in color, and informative about current events. The only hesitation I would have is not having any information on where the graph is from. ",71.323,1,1,,5,,3,1,5,,3,4,611189554654cc7dd530f161,scatter arrows,animated
844,16.638,4.018,0,63.474,26.807,1,Not at all,2,easy,2,,15.32,3,helpful,1,"yes, the static visualization is just as clear as the animated version.",28.566,10,1,151.352,5,Shows the change in COVID-related hospitalizations in different states with relation to the percentage of vaccinated individuals in that state in the past 2 weeks,"More vaccinated states experienced a decrease in COVID-related hospitalizations, showing that vaccines are effective in spreading the virus",14.166,3,1,101.825,States with less vaccinated populations experienced more of an increase in COVID 19 hospitalization over the last 2 weeks,77.863,Arkansas' number of hospitalized people will continue to increase at a higher rate whereas Rhode Island will increase at a slower rate or may even stay the same,123.226,Encouraging more people to get vaccinated is the way to help reduce the number of COVID patients across the country. This is because states that are more than 50% vaccinated generally experience a decrease in COVID hospitalizations whereas states that are less vaccinated continue to have high rates of COVID patients,25.794,17,1,123.584,7,The states that are shown in the 60-70 percentage column are New England states which are the most vaccinated states and states that are in the less vaccinated columns are Southern states that are the least vaccinated states in the US currently,50.181,1,1,,2,,2,3,3,,4,4,612053df28e85177e12b5d89,scatter arrows,animated
626,15.589,2.328,0,68.782,16.114,1,Not at all,1,very easy,2,,7.134,3,helpful,3,"no, the animation made the data easier to understand.",25.334,11,1,86.885,6,"It shows several states and the difference in number of people hospitalized two weeks ago vs today, and also references the vaccinated population percentage","States with higher vaccination percentages are more likely to see a decrease (or at least smaller increase) in hospitalizations over time
",20.868,3,1,83.594,"It appears to be going up the most in states with under 50% percent vaccination, and going down or increasing the least in states above 50%
",47.237,"Given the trends, it appears these two states will both go up in hospitalizations, Arkansas by much more than Rhode Island",105.166,"Increasing vaccinated population numbers could help reduce the number of COVID hospitalizations. This is shown in the graph because as the vaccination percentage increases, the number of people hospitalized overall goes down, and the trends per state are also more often downward in the higher percentage end.",18.187,7,1,82.767,5,"I'd like to say I trust it since I'm being surveyed about it, but that being said there is no source listed for the data.",24.536,1,1,,5,,2,3,4,,5,5,6108c4f8c1ecaeaf761f1a0a,scatter arrows,animated
569,12.199,2.856,0,65.401,29.702,1,Not at all,2,easy,2,,10.325,5,very helpful,3,"no, the animation made the data easier to understand.",41.89,10,1,100.401,5,Helps with gaining a broader scope instead of just words/numbers on paper lines make it easier to grasp.,Not as highly populated states have cases going down as well as highly vaccinated states have cases going down. Southern/highly populated/not vaccinated states have cases going up.,25.625,5,1,34.163,"Mostly going up, except for low population states or highly vaccinated states.",71.658,Arkansas could reach 30 while Rhode Island could hit 15 if the rate of hospitalized people stay the same.,38.503,"The higher % of fully vaccinated, the more likely that state will have cases drop.",12.093,16,1,70.501,4,"No source provided at all except at the beginning there was a published named, but I need to see the source material it was drawn from as well, even if it's not as easy to understand as a graph.",30.19,1,2,,5,,2,2,4,,5,4,61202a222a23700ed108b394,scatter arrows,animated
1328,28.747,3.836,0,54.944,11.51,2,Somewhat familiar,6,hard,3,"It took me a while to get the relational aspects of the up-down and left-right. It still isn't very clear to me, but I can respect its intent. If it were just shown as the last image, I would prefer that more, because showing it gradually made me confused.",7.747,1,not helpful,1,"yes, the static visualization is just as clear as the animated version.",15.095,11,1,473.703,3,"It's a lot of unlabeled arrows that don't tell me much. While I can tell there's a trend of higher vaccinated populations having a drop in cases per 100,000 people, I can't tell what a lot of the arrows are.","States that have more of the population vaccinated are generally more likely to have a drop in the hospitalizations per 100,000 people.",299.751,4,1,153.852,"In less vaccinated populations, hospitalizations have gone up. In more vaccinated populations, hospitalizations have gone down.",26.128,"I would expect that Arkansas continues to grow, while Rhode Island drops down to the point it was before.",114.164,"Heavily vaccinated populations trend far lower on the amount of hospitalizations per 100,000 people. Due to this, vaccines should be mandated for all people in the health condition and age range to be able to receive them. They may not ensure that the rates decrease all of the time (see: Rhode Island),  but there are no cases of a large increase past roughly 55% of the population fully vaccinated, which shows that the large jumps can be stopped with herd immunity.",9.488,7,1,39.248,7,"I don't think it'd be shown by Harvard to me if it weren't true. That being said, I don't enjoy a lot of the arrows being entirely unmarked, as those could be anything and aren't possible to verify.",24.618,1,3,,"2,5",,3,2,5,,5,5,5d8d5cc4c83a770013213a84,scatter arrows,animated
