Entity,Code,Day,Delta
Angola,AGO,2020-07-06,0
Angola,AGO,2020-08-31,0
Angola,AGO,2020-09-28,0
Angola,AGO,2020-10-12,0
Angola,AGO,2020-10-26,0
Angola,AGO,2020-12-07,0
Angola,AGO,2020-12-21,0
Angola,AGO,2021-01-04,0
Angola,AGO,2021-01-11,0
Angola,AGO,2021-01-25,0
Angola,AGO,2021-02-08,0
Angola,AGO,2021-02-22,0
Angola,AGO,2021-03-08,0
Angola,AGO,2021-03-22,0
Angola,AGO,2021-04-05,0
Angola,AGO,2021-04-19,0
Angola,AGO,2021-05-03,0
Angola,AGO,2021-05-17,80
Argentina,ARG,2020-05-11,0
Argentina,ARG,2020-05-25,0
Argentina,ARG,2020-06-08,0
Argentina,ARG,2020-06-22,0
Argentina,ARG,2020-07-06,0
Argentina,ARG,2020-07-20,0
Argentina,ARG,2020-08-03,0
Argentina,ARG,2020-08-17,0
Argentina,ARG,2020-08-31,0
Argentina,ARG,2020-09-14,0
Argentina,ARG,2020-09-28,0
Argentina,ARG,2020-10-12,0
Argentina,ARG,2020-10-26,0
Argentina,ARG,2020-11-09,0
Argentina,ARG,2020-11-23,0
Argentina,ARG,2020-12-07,0
Argentina,ARG,2020-12-21,0
Argentina,ARG,2021-01-04,0
Argentina,ARG,2021-01-11,0
Argentina,ARG,2021-01-25,0
Argentina,ARG,2021-02-08,0
Argentina,ARG,2021-02-22,0
Argentina,ARG,2021-03-08,0
Argentina,ARG,2021-03-22,0
Argentina,ARG,2021-04-05,0
Argentina,ARG,2021-04-19,0
Argentina,ARG,2021-05-03,0.43
Argentina,ARG,2021-05-17,0
Aruba,ABW,2020-08-17,0
Aruba,ABW,2020-08-31,0
Aruba,ABW,2021-01-25,0
Aruba,ABW,2021-02-08,0
Aruba,ABW,2021-02-22,0
Aruba,ABW,2021-03-08,0
Aruba,ABW,2021-03-22,0
Aruba,ABW,2021-04-05,0
Aruba,ABW,2021-04-19,0.76
Aruba,ABW,2021-05-03,1.43
Aruba,ABW,2021-05-17,0
Aruba,ABW,2021-05-31,0
Aruba,ABW,2021-06-14,0
Aruba,ABW,2021-06-28,0
Australia,AUS,2020-05-11,0
Australia,AUS,2020-05-25,0
Australia,AUS,2020-06-08,0
Australia,AUS,2020-06-22,0
Australia,AUS,2020-07-06,0
Australia,AUS,2020-07-20,0
Australia,AUS,2020-08-03,0
Australia,AUS,2020-08-17,0
Australia,AUS,2020-08-31,0
Australia,AUS,2020-09-14,0
Australia,AUS,2020-09-28,0
Australia,AUS,2020-10-12,0
Australia,AUS,2020-10-26,0
Australia,AUS,2020-11-09,0
Australia,AUS,2020-11-23,0
Australia,AUS,2020-12-07,0
Australia,AUS,2020-12-21,0
Australia,AUS,2021-01-04,0
Australia,AUS,2021-01-11,0
Australia,AUS,2021-01-25,0
Australia,AUS,2021-02-08,8.51
Australia,AUS,2021-02-22,0
Australia,AUS,2021-03-08,1.49
Australia,AUS,2021-03-22,0.93
Australia,AUS,2021-04-05,2.59
Australia,AUS,2021-04-19,18.71
Australia,AUS,2021-05-03,43.1
Australia,AUS,2021-05-17,39.08
Australia,AUS,2021-05-31,19.7
Australia,AUS,2021-06-14,43.96
Australia,AUS,2021-06-28,84.16
Australia,AUS,2021-07-12,88.89
Austria,AUT,2020-05-11,0
Austria,AUT,2020-05-25,0
Austria,AUT,2020-06-08,0
Austria,AUT,2020-06-22,0
Austria,AUT,2020-07-06,0
Austria,AUT,2020-07-20,0
Austria,AUT,2020-08-03,0
Austria,AUT,2020-08-17,0
Austria,AUT,2020-08-31,0
Austria,AUT,2020-09-14,0
Austria,AUT,2020-09-28,0
Austria,AUT,2020-10-12,0
Austria,AUT,2020-10-26,0
Austria,AUT,2020-11-09,0
Austria,AUT,2020-11-23,0
Austria,AUT,2020-12-07,0
Austria,AUT,2020-12-21,0
Austria,AUT,2021-01-04,0
Austria,AUT,2021-01-11,0
Austria,AUT,2021-01-25,0
Austria,AUT,2021-02-08,0
Austria,AUT,2021-02-22,0
Austria,AUT,2021-03-08,0
Austria,AUT,2021-03-22,0
Austria,AUT,2021-04-05,0
Austria,AUT,2021-04-19,0.57
Austria,AUT,2021-05-03,0.31
Austria,AUT,2021-05-17,0.5
Austria,AUT,2021-05-31,2.43
Austria,AUT,2021-06-14,45.73
Austria,AUT,2021-06-28,62.09
Bangladesh,BGD,2020-05-11,0
Bangladesh,BGD,2020-05-25,0
Bangladesh,BGD,2020-06-08,0
Bangladesh,BGD,2020-06-22,0
Bangladesh,BGD,2020-07-06,0
Bangladesh,BGD,2020-07-20,0
Bangladesh,BGD,2020-08-03,0
Bangladesh,BGD,2020-08-17,0
Bangladesh,BGD,2020-08-31,0
Bangladesh,BGD,2020-09-14,0
Bangladesh,BGD,2020-09-28,0
Bangladesh,BGD,2020-10-12,0
Bangladesh,BGD,2020-10-26,0
Bangladesh,BGD,2020-11-09,0
Bangladesh,BGD,2020-11-23,0
Bangladesh,BGD,2020-12-07,0
Bangladesh,BGD,2020-12-21,0
Bangladesh,BGD,2021-01-04,0
Bangladesh,BGD,2021-01-11,0
Bangladesh,BGD,2021-01-25,0
Bangladesh,BGD,2021-02-08,0
Bangladesh,BGD,2021-02-22,0
Bangladesh,BGD,2021-03-08,0
Bangladesh,BGD,2021-03-22,0
Bangladesh,BGD,2021-04-05,0
Bangladesh,BGD,2021-04-19,0
Bangladesh,BGD,2021-05-03,18.18
Bangladesh,BGD,2021-05-17,41.07
Bangladesh,BGD,2021-05-31,45.12
Bangladesh,BGD,2021-06-14,71.11
Bangladesh,BGD,2021-06-28,92
Belgium,BEL,2020-05-11,0
Belgium,BEL,2020-05-25,0
Belgium,BEL,2020-06-08,0
Belgium,BEL,2020-06-22,0
Belgium,BEL,2020-07-06,0
Belgium,BEL,2020-07-20,0
Belgium,BEL,2020-08-03,0
Belgium,BEL,2020-08-17,0
Belgium,BEL,2020-08-31,0
Belgium,BEL,2020-09-14,0
Belgium,BEL,2020-09-28,0
Belgium,BEL,2020-10-12,0
Belgium,BEL,2020-10-26,0
Belgium,BEL,2020-11-09,0
Belgium,BEL,2020-11-23,0
Belgium,BEL,2020-12-07,0
Belgium,BEL,2020-12-21,0
Belgium,BEL,2021-01-04,0
Belgium,BEL,2021-01-11,0
Belgium,BEL,2021-01-25,0
Belgium,BEL,2021-02-08,0
Belgium,BEL,2021-02-22,0
Belgium,BEL,2021-03-08,0
Belgium,BEL,2021-03-22,0
Belgium,BEL,2021-04-05,0
Belgium,BEL,2021-04-19,0.28
Belgium,BEL,2021-05-03,2.93
Belgium,BEL,2021-05-17,2.94
Belgium,BEL,2021-05-31,4.64
Belgium,BEL,2021-06-14,11.88
Belgium,BEL,2021-06-28,27.19
Belgium,BEL,2021-07-12,45.9
Botswana,BWA,2020-09-14,0
Botswana,BWA,2020-09-28,0
Botswana,BWA,2020-10-12,0
Botswana,BWA,2020-10-26,0
Botswana,BWA,2020-11-09,0
Botswana,BWA,2020-11-23,0
Botswana,BWA,2020-12-07,0
Botswana,BWA,2020-12-21,0
Botswana,BWA,2021-01-04,0
Botswana,BWA,2021-01-11,0
Botswana,BWA,2021-01-25,0
Botswana,BWA,2021-02-08,0
Botswana,BWA,2021-02-22,0
Botswana,BWA,2021-03-08,0
Botswana,BWA,2021-03-22,0
Botswana,BWA,2021-04-05,0
Botswana,BWA,2021-05-03,16.67
