state_short,state,vaccination_rate,initial_value,subsequent_value,colour
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
AL,Alabama,0.34,5,7.5,red
MS,Mississippi,0.34,5.5,10,red
AR,Arkansas,0.35,10,18,red
WY,Wyoming,0.36,5.7,9,red
ID,Idaho,0.37,5.5,4.5,purple
GA,Georgia,0.38,5.9,7,red
GA,Georgia,0.38,5.9,7,red
TN,Tennessee,0.38,3.5,3,purple
OK,Oklahoma,0.39,5.5,8,red
WV,West Virginia,0.39,6,5,purple
MO,Missouri,0.4,14.5,21,red
ND,North Dakota,0.4,5.2,4,purple
SC,South Carolina,0.4,4,2.5,purple
IN,Indiana,0.43,5.8,6.7,red
KS,Kansas,0.43,5.1,6.9,red
NV,Nevada,0.43,11.5,21.8,red
NC,North Carolina,0.43,3.9,4.9,red
TX,Texas,0.43,6.5,8.5,red
AZ,Arizona,0.44,7,8.5,red
MT,Montana,0.44,6,4.7,purple
UT,Utah,0.44,5.9,7,red
AK,Alaska,0.45,1.8,5.4,red
KY,Kentucky,0.45,5.4,7,red
OH,Ohio,0.46,6,4.8,purple
SD,South Dakota,0.46,2.1,3.9,red
FL,Florida,0.47,9,14.5,red
IL,Illinois,0.47,4,5,red
MI,Michigan,0.48,3.5,2,purple
IA,Iowa,0.49,5.1,6.5,red
NE,Nebraska,0.49,2,4.9,red
CA,California,0.51,2.5,5,red
DE,Delaware,0.51,2.5,5,red
PA,Pennsylvania,0.51,4,3,purple
WI,Wisconsin,0.51,2,1,purple
CO,Colorado,0.53,6,5,purple
HI,Hawaii,0.53,3,4.8,red
MN,Minnesota,0.53,2.7,3.5,red
VA,Virginia,0.53,3,2,purple
OR,Oregon,0.55,4.9,3,purple
NM,New Mexico,0.56,4,5,red
NY,New York,0.56,4,3,purple
WA,Washington,0.56,6.1,5.4,purple
NJ,New Jersey,0.57,3.7,4.5,red
MD,Maryland,0.58,5.5,3.95,purple
NH,New Hampshire,0.58,1.5,2,red
RI,Rhode Island,0.6,6.8,7.9,red
CT,Connecticut,0.62,2,1,purple
ME,Maine,0.63,3.5,2.7,purple
MA,Massachusetts,0.63,1.7,1,purple
VT,Vermont,0.67,1,0,purple
