date,AFRO,AMRO,EMRO,EURO,Other,SEARO,WPRO
03-Jan-20,0,0,0,0,0,0,0
04-Jan-20,0,0,0,0,0,0,1
05-Jan-20,0,0,0,0,0,0,0
06-Jan-20,0,0,0,0,0,0,3
07-Jan-20,0,0,0,0,0,0,0
08-Jan-20,0,0,0,0,0,0,0
09-Jan-20,0,0,0,0,0,0,0
10-Jan-20,0,0,0,0,0,0,0
11-Jan-20,0,0,0,0,0,0,0
12-Jan-20,0,0,0,0,0,0,41
13-Jan-20,0,0,0,0,0,1,0
14-Jan-20,0,0,0,0,0,4,1
15-Jan-20,0,0,0,0,0,0,0
16-Jan-20,0,0,0,0,0,0,0
17-Jan-20,0,0,0,0,0,-3,4
18-Jan-20,0,0,0,0,0,4,0
19-Jan-20,0,0,0,0,0,0,81
20-Jan-20,0,5,0,0,0,0,77
21-Jan-20,0,0,0,0,0,0,93
22-Jan-20,0,0,0,0,0,1,143
23-Jan-20,0,0,0,0,0,-2,132
24-Jan-20,0,31,0,3,0,8,269
25-Jan-20,0,1,0,0,0,0,469
26-Jan-20,0,6,0,0,0,-3,691
27-Jan-20,0,4,0,0,0,12,783
28-Jan-20,0,4,0,1,0,-2,1770
29-Jan-20,0,1,8,7,0,8,1469
30-Jan-20,0,1,0,1,0,1,1751
31-Jan-20,0,2,0,6,0,9,1999
01-Feb-20,0,2,1,4,0,-4,2109
02-Feb-20,0,4,0,3,0,1,2601
03-Feb-20,0,3,0,1,0,1,2834
04-Feb-20,0,1,0,3,0,10,3235
05-Feb-20,0,8,0,0,14,-4,3911
06-Feb-20,0,1,0,0,10,4,3710
07-Feb-20,0,3,0,2,41,0,3158
08-Feb-20,0,0,2,6,3,3,3392
09-Feb-20,0,1,0,0,6,-3,2664
10-Feb-20,0,1,1,4,65,0,2990
11-Feb-20,0,2,0,2,0,4,2477
12-Feb-20,0,1,0,2,39,4,2027
13-Feb-20,0,2,0,1,44,0,15155
14-Feb-20,0,1,5,3,0,0,4065
15-Feb-20,0,2,0,0,67,-3,2660
16-Feb-20,0,3,1,0,70,4,2030
17-Feb-20,0,3,0,1,99,-3,2060
18-Feb-20,0,0,0,0,88,4,1904
19-Feb-20,0,6,6,0,79,0,1796
20-Feb-20,0,0,3,0,0,0,417
21-Feb-20,0,1,20,1,13,0,987
22-Feb-20,0,3,12,14,0,0,1034
23-Feb-20,0,9,15,64,57,0,890
24-Feb-20,0,3,32,56,0,0,439
25-Feb-20,5,1,66,100,0,-2,660
26-Feb-20,0,10,72,108,4,3,674
27-Feb-20,0,5,48,106,0,4,913
28-Feb-20,5,13,256,334,0,-3,786
29-Feb-20,0,16,20,327,0,1,1364
01-Mar-20,0,14,217,414,1,4,1187
02-Mar-20,7,44,40,690,0,-3,915
03-Mar-20,2,41,939,571,0,12,748
04-Mar-20,6,42,1430,764,0,19,666
05-Mar-20,9,52,617,1088,0,1,641
06-Mar-20,10,70,1279,1516,0,6,720
07-Mar-20,7,116,1114,1868,0,11,697
08-Mar-20,1,117,822,2207,0,10,489
09-Mar-20,4,113,640,2684,0,7,366
10-Mar-20,4,227,952,3514,0,20,233
11-Mar-20,11,345,1090,3373,0,23,363
