date,Africa,Americas,Eastern_Mediterranean,Europe,Other,South_East_Asia,Western_Pacific,new_cases,day_average
03-Jan-20,0,0,0,0,0,0,0,0,0
04-Jan-20,0,0,0,0,0,0,1,1,0
05-Jan-20,0,0,0,0,0,0,0,0,0
06-Jan-20,0,0,0,0,0,0,3,3,0
07-Jan-20,0,0,0,0,0,0,0,0,0
08-Jan-20,0,0,0,0,0,0,0,0,0
09-Jan-20,0,0,0,0,0,0,0,0,0.571428571
10-Jan-20,0,0,0,0,0,0,0,0,0.571428571
11-Jan-20,0,0,0,0,0,0,0,0,0.428571429
12-Jan-20,0,0,0,0,0,0,41,41,6.285714286
13-Jan-20,0,0,0,0,0,1,0,1,6
14-Jan-20,0,0,0,0,0,4,1,5,6.714285714
15-Jan-20,0,0,0,0,0,0,0,0,6.714285714
16-Jan-20,0,0,0,0,0,0,0,0,6.714285714
17-Jan-20,0,0,0,0,0,-3,4,1,6.857142857
18-Jan-20,0,0,0,0,0,4,0,4,7.428571429
19-Jan-20,0,0,0,0,0,0,81,81,13.14285714
20-Jan-20,0,5,0,0,0,0,77,82,24.71428571
21-Jan-20,0,0,0,0,0,0,93,93,37.28571429
22-Jan-20,0,0,0,0,0,1,143,144,57.85714286
23-Jan-20,0,0,0,0,0,-2,132,130,76.42857143
24-Jan-20,0,31,0,3,0,8,269,311,120.7142857
25-Jan-20,0,1,0,0,0,0,469,470,187.2857143
26-Jan-20,0,6,0,0,0,-3,691,694,274.8571429
27-Jan-20,0,4,0,0,0,12,783,799,377.2857143
28-Jan-20,0,4,0,1,0,-2,1770,1773,617.2857143
29-Jan-20,0,1,8,7,0,8,1469,1493,810
30-Jan-20,0,1,0,1,0,1,1751,1754,1042
31-Jan-20,0,2,0,6,0,9,1999,2016,1285.571429
01-Feb-20,0,2,1,4,0,-4,2109,2112,1520.142857
02-Feb-20,0,4,0,3,0,1,2601,2609,1793.714286
03-Feb-20,0,3,0,1,0,1,2834,2839,2085.142857
04-Feb-20,0,1,0,3,0,10,3235,3249,2296
05-Feb-20,0,8,0,0,14,-4,3911,3929,2644
