date,new_cases
03-Jan-2020,0
04-Jan-2020,1
05-Jan-2020,0
06-Jan-2020,3
07-Jan-2020,0
08-Jan-2020,0
09-Jan-2020,0
10-Jan-2020,0
11-Jan-2020,0
12-Jan-2020,41
13-Jan-2020,1
14-Jan-2020,5
15-Jan-2020,0
16-Jan-2020,0
17-Jan-2020,1
18-Jan-2020,4
19-Jan-2020,81
20-Jan-2020,82
21-Jan-2020,93
22-Jan-2020,144
23-Jan-2020,130
24-Jan-2020,311
25-Jan-2020,470
26-Jan-2020,694
27-Jan-2020,799
28-Jan-2020,1773
29-Jan-2020,1493
30-Jan-2020,1754
31-Jan-2020,2016
01-Feb-2020,2112
02-Feb-2020,2609
03-Feb-2020,2839
04-Feb-2020,3249
05-Feb-2020,3929
06-Feb-2020,3725
07-Feb-2020,3204
08-Feb-2020,3406
09-Feb-2020,2668
10-Feb-2020,3061
11-Feb-2020,2485
12-Feb-2020,2073
13-Feb-2020,15202
14-Feb-2020,4074
15-Feb-2020,2726
16-Feb-2020,2108
17-Feb-2020,2160
18-Feb-2020,1996
19-Feb-2020,1887
20-Feb-2020,420
21-Feb-2020,1022
22-Feb-2020,1063
23-Feb-2020,1035
24-Feb-2020,530
25-Feb-2020,830
26-Feb-2020,871
27-Feb-2020,1076
28-Feb-2020,1391
29-Feb-2020,1728
01-Mar-2020,1837
02-Mar-2020,1693
03-Mar-2020,2313
04-Mar-2020,2927
05-Mar-2020,2408
06-Mar-2020,3601
07-Mar-2020,3813
08-Mar-2020,3646
09-Mar-2020,3814
10-Mar-2020,4950
11-Mar-2020,5205
12-Mar-2020,7858
13-Mar-2020,9531
14-Mar-2020,10983
15-Mar-2020,12284
16-Mar-2020,11692
17-Mar-2020,16002
18-Mar-2020,16814
19-Mar-2020,21963
20-Mar-2020,30173
21-Mar-2020,32145
22-Mar-2020,30843
23-Mar-2020,32483
24-Mar-2020,41851
25-Mar-2020,45292
26-Mar-2020,52078
27-Mar-2020,58825
28-Mar-2020,65759
29-Mar-2020,68142
30-Mar-2020,58531
31-Mar-2020,58484
01-Apr-2020,73636
02-Apr-2020,72476
03-Apr-2020,75458
04-Apr-2020,77407
05-Apr-2020,81613
06-Apr-2020,69765
07-Apr-2020,68279
08-Apr-2020,87420
09-Apr-2020,73074
10-Apr-2020,85801
11-Apr-2020,85774
12-Apr-2020,82488
13-Apr-2020,73514
14-Apr-2020,67631
15-Apr-2020,69604
16-Apr-2020,74091
17-Apr-2020,80025
18-Apr-2020,80091
19-Apr-2020,80866
20-Apr-2020,73983
21-Apr-2020,70934
22-Apr-2020,77052
23-Apr-2020,74369
24-Apr-2020,78543
25-Apr-2020,100533
26-Apr-2020,78137
27-Apr-2020,80200
28-Apr-2020,71014
29-Apr-2020,69342
30-Apr-2020,76025
01-May-2020,81262
02-May-2020,87665
03-May-2020,85294
04-May-2020,81598
05-May-2020,80357
06-May-2020,73120
07-May-2020,81510
08-May-2020,87456
09-May-2020,94139
10-May-2020,85996
11-May-2020,87542
12-May-2020,76280
13-May-2020,76647
14-May-2020,82842
15-May-2020,89115
16-May-2020,94176
17-May-2020,93502
18-May-2020,101900
19-May-2020,73956
20-May-2020,92942
21-May-2020,105152
22-May-2020,103028
23-May-2020,102071
24-May-2020,104267
25-May-2020,102236
26-May-2020,88674
27-May-2020,91780
28-May-2020,97203
29-May-2020,108488
30-May-2020,116501
31-May-2020,113258
01-Jun-2020,128151
02-Jun-2020,113220
03-Jun-2020,91828
04-Jun-2020,128165
05-Jun-2020,118756
06-Jun-2020,127854
07-Jun-2020,136322
08-Jun-2020,131377
09-Jun-2020,109061
10-Jun-2020,105789
11-Jun-2020,129355
12-Jun-2020,138274
13-Jun-2020,140581
14-Jun-2020,137454
15-Jun-2020,131777
16-Jun-2020,118833
17-Jun-2020,121100
18-Jun-2020,183675
19-Jun-2020,142868
20-Jun-2020,145769
21-Jun-2020,180767
22-Jun-2020,154620
23-Jun-2020,132919
24-Jun-2020,135391
25-Jun-2020,169722
26-Jun-2020,179972
27-Jun-2020,179555
28-Jun-2020,192474
29-Jun-2020,179301
30-Jun-2020,171290
