date,region,new_cases
03-Jan-20,AFRO,0
03-Jan-20,AMRO,0
03-Jan-20,EMRO,0
03-Jan-20,EURO,0
03-Jan-20,Other,0
03-Jan-20,SEARO,0
03-Jan-20,WPRO,0
04-Jan-20,AFRO,0
04-Jan-20,AMRO,0
04-Jan-20,EMRO,0
04-Jan-20,EURO,0
04-Jan-20,Other,0
04-Jan-20,SEARO,0
04-Jan-20,WPRO,1
05-Jan-20,AFRO,0
05-Jan-20,AMRO,0
05-Jan-20,EMRO,0
05-Jan-20,EURO,0
05-Jan-20,Other,0
05-Jan-20,SEARO,0
05-Jan-20,WPRO,0
06-Jan-20,AFRO,0
06-Jan-20,AMRO,0
06-Jan-20,EMRO,0
06-Jan-20,EURO,0
06-Jan-20,Other,0
06-Jan-20,SEARO,0
06-Jan-20,WPRO,3
07-Jan-20,AFRO,0
07-Jan-20,AMRO,0
07-Jan-20,EMRO,0
07-Jan-20,EURO,0
07-Jan-20,Other,0
07-Jan-20,SEARO,0
07-Jan-20,WPRO,0
08-Jan-20,AFRO,0
08-Jan-20,AMRO,0
08-Jan-20,EMRO,0
08-Jan-20,EURO,0
08-Jan-20,Other,0
08-Jan-20,SEARO,0
08-Jan-20,WPRO,0
09-Jan-20,AFRO,0
09-Jan-20,AMRO,0
09-Jan-20,EMRO,0
09-Jan-20,EURO,0
09-Jan-20,Other,0
09-Jan-20,SEARO,0
09-Jan-20,WPRO,0
10-Jan-20,AFRO,0
10-Jan-20,AMRO,0
10-Jan-20,EMRO,0
10-Jan-20,EURO,0
10-Jan-20,Other,0
10-Jan-20,SEARO,0
10-Jan-20,WPRO,0
11-Jan-20,AFRO,0
11-Jan-20,AMRO,0
11-Jan-20,EMRO,0
11-Jan-20,EURO,0
11-Jan-20,Other,0
11-Jan-20,SEARO,0
11-Jan-20,WPRO,0
12-Jan-20,AFRO,0
12-Jan-20,AMRO,0
12-Jan-20,EMRO,0
12-Jan-20,EURO,0
12-Jan-20,Other,0
12-Jan-20,SEARO,0
12-Jan-20,WPRO,41
13-Jan-20,AFRO,0
13-Jan-20,AMRO,0
13-Jan-20,EMRO,0
13-Jan-20,EURO,0
13-Jan-20,Other,0
13-Jan-20,SEARO,1
13-Jan-20,WPRO,0
14-Jan-20,AFRO,0
14-Jan-20,AMRO,0
14-Jan-20,EMRO,0
14-Jan-20,EURO,0
14-Jan-20,Other,0
14-Jan-20,SEARO,4
14-Jan-20,WPRO,1
15-Jan-20,AFRO,0
15-Jan-20,AMRO,0
15-Jan-20,EMRO,0
15-Jan-20,EURO,0
15-Jan-20,Other,0
15-Jan-20,SEARO,0
15-Jan-20,WPRO,0
16-Jan-20,AFRO,0
16-Jan-20,AMRO,0
16-Jan-20,EMRO,0
16-Jan-20,EURO,0
16-Jan-20,Other,0
16-Jan-20,SEARO,0
16-Jan-20,WPRO,0
17-Jan-20,AFRO,0
17-Jan-20,AMRO,0
17-Jan-20,EMRO,0
17-Jan-20,EURO,0
17-Jan-20,Other,0
17-Jan-20,SEARO,-3
17-Jan-20,WPRO,4
18-Jan-20,AFRO,0
18-Jan-20,AMRO,0
18-Jan-20,EMRO,0
18-Jan-20,EURO,0
18-Jan-20,Other,0
18-Jan-20,SEARO,4
18-Jan-20,WPRO,0
19-Jan-20,AFRO,0
19-Jan-20,AMRO,0
19-Jan-20,EMRO,0
19-Jan-20,EURO,0
19-Jan-20,Other,0
19-Jan-20,SEARO,0
19-Jan-20,WPRO,81
20-Jan-20,AFRO,0
20-Jan-20,AMRO,5
20-Jan-20,EMRO,0
20-Jan-20,EURO,0
20-Jan-20,Other,0
20-Jan-20,SEARO,0
20-Jan-20,WPRO,77
21-Jan-20,AFRO,0
21-Jan-20,AMRO,0
21-Jan-20,EMRO,0
21-Jan-20,EURO,0
21-Jan-20,Other,0
21-Jan-20,SEARO,0
21-Jan-20,WPRO,93
22-Jan-20,AFRO,0
22-Jan-20,AMRO,0
22-Jan-20,EMRO,0
22-Jan-20,EURO,0
22-Jan-20,Other,0
22-Jan-20,SEARO,1
22-Jan-20,WPRO,143
23-Jan-20,AFRO,0
23-Jan-20,AMRO,0
23-Jan-20,EMRO,0
23-Jan-20,EURO,0
23-Jan-20,Other,0
23-Jan-20,SEARO,-2
23-Jan-20,WPRO,132
24-Jan-20,AFRO,0
24-Jan-20,AMRO,31
24-Jan-20,EMRO,0
24-Jan-20,EURO,3
24-Jan-20,Other,0
24-Jan-20,SEARO,8
24-Jan-20,WPRO,269
25-Jan-20,AFRO,0
25-Jan-20,AMRO,1
25-Jan-20,EMRO,0
25-Jan-20,EURO,0
25-Jan-20,Other,0
25-Jan-20,SEARO,0
25-Jan-20,WPRO,469
26-Jan-20,AFRO,0
26-Jan-20,AMRO,6
26-Jan-20,EMRO,0
26-Jan-20,EURO,0
26-Jan-20,Other,0
26-Jan-20,SEARO,-3
26-Jan-20,WPRO,691
27-Jan-20,AFRO,0
27-Jan-20,AMRO,4
27-Jan-20,EMRO,0
27-Jan-20,EURO,0
27-Jan-20,Other,0
27-Jan-20,SEARO,12
27-Jan-20,WPRO,783
28-Jan-20,AFRO,0
28-Jan-20,AMRO,4
28-Jan-20,EMRO,0
28-Jan-20,EURO,1
28-Jan-20,Other,0
28-Jan-20,SEARO,-2
28-Jan-20,WPRO,1770
29-Jan-20,AFRO,0
29-Jan-20,AMRO,1
29-Jan-20,EMRO,8
29-Jan-20,EURO,7
29-Jan-20,Other,0
29-Jan-20,SEARO,8
29-Jan-20,WPRO,1469
30-Jan-20,AFRO,0
30-Jan-20,AMRO,1
